2026-09-06 12:23:22,355 INFO ethicalguard: [PQ-1-2] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 17:12:42,729 INFO ethicalguard: [PQ-3-8] ERS=0.70 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 17:16:16,309 INFO ethicalguard: [PQ-4-9] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:17:53,140 INFO ethicalguard: [PQ-4-10] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:19:33,285 INFO ethicalguard: [MEE-equilibrium-0] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:22:37,950 INFO ethicalguard: [MEE-equilibrium-1] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:24:35,392 INFO ethicalguard: [MEE-equilibrium-2] ERS=0.80 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 17:26:10,125 INFO ethicalguard: [MEE-equilibrium-3] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:29:00,320 INFO ethicalguard: [MEE-equilibrium-4] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:31:53,501 INFO ethicalguard: [MEE-equilibrium-5] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:33:50,069 INFO ethicalguard: [MEE-equilibrium-6] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:35:39,375 INFO ethicalguard: [MEE-equilibrium-7] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:38:09,907 INFO ethicalguard: [MEE-equilibrium-8] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:40:00,408 INFO ethicalguard: [MEE-equilibrium-9] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:41:45,765 INFO ethicalguard: [VITAL-mc-C_001] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 17:43:05,101 INFO ethicalguard: [VITAL-mc-C_026] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 17:45:09,388 INFO ethicalguard: [VITAL-mc-C_043] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:47:33,830 INFO ethicalguard: [VITAL-mc-C_052] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 17:50:14,036 INFO ethicalguard: [VITAL-mc-C_081] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient']
2026-09-06 17:51:14,301 INFO ethicalguard: [VITAL-mc-C_095] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 17:52:32,796 INFO ethicalguard: [MEQA-open-0] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:54:08,984 INFO ethicalguard: [MEQA-open-1] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:55:38,688 INFO ethicalguard: [MEQA-open-2] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:57:26,409 INFO ethicalguard: [MEQA-open-4] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 17:59:05,955 INFO ethicalguard: [MEQA-open-5] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:00:44,289 INFO ethicalguard: [MEQA-open-6] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:02:20,088 INFO ethicalguard: [MEQA-open-8] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:04:53,511 INFO ethicalguard: [MEQA-open-9] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:07:29,650 INFO ethicalguard: [LLMEvalMed-9-1] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 18:08:46,653 INFO ethicalguard: [LLMEvalMed-12-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:10:22,021 INFO ethicalguard: [LLMEvalMed-13-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 18:11:55,530 INFO ethicalguard: [LLMEvalMed-14-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:13:27,771 INFO ethicalguard: [LLMEvalMed-18-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:15:12,671 INFO ethicalguard: [LLMEvalMed-21-1] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:19:40,633 INFO ethicalguard: [PQ-1-2] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 18:21:02,255 INFO ethicalguard: [PQ-3-7] ERS=0.30 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 18:24:09,703 INFO ethicalguard: [PQ-3-8] ERS=0.70 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 18:27:43,970 INFO ethicalguard: [PQ-4-9] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:29:21,675 INFO ethicalguard: [PQ-4-10] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:31:02,771 INFO ethicalguard: [MEE-equilibrium-0] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:34:08,473 INFO ethicalguard: [MEE-equilibrium-1] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:36:06,775 INFO ethicalguard: [MEE-equilibrium-2] ERS=0.80 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 18:37:42,095 INFO ethicalguard: [MEE-equilibrium-3] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:40:32,953 INFO ethicalguard: [MEE-equilibrium-4] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:43:27,080 INFO ethicalguard: [MEE-equilibrium-5] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:45:24,331 INFO ethicalguard: [MEE-equilibrium-6] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:47:14,525 INFO ethicalguard: [MEE-equilibrium-7] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:49:45,765 INFO ethicalguard: [MEE-equilibrium-8] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:51:37,246 INFO ethicalguard: [MEE-equilibrium-9] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:53:23,667 INFO ethicalguard: [VITAL-mc-C_001] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 18:54:43,606 INFO ethicalguard: [VITAL-mc-C_026] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 18:56:48,302 INFO ethicalguard: [VITAL-mc-C_043] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 18:59:13,405 INFO ethicalguard: [VITAL-mc-C_052] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 19:01:54,352 INFO ethicalguard: [VITAL-mc-C_081] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient']
2026-09-06 19:02:55,096 INFO ethicalguard: [VITAL-mc-C_095] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 19:04:13,918 INFO ethicalguard: [MEQA-open-0] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:05:50,568 INFO ethicalguard: [MEQA-open-1] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:07:21,305 INFO ethicalguard: [MEQA-open-2] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:09:09,965 INFO ethicalguard: [MEQA-open-4] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:10:50,081 INFO ethicalguard: [MEQA-open-5] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:12:28,939 INFO ethicalguard: [MEQA-open-6] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:14:05,768 INFO ethicalguard: [MEQA-open-8] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:16:40,149 INFO ethicalguard: [MEQA-open-9] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:19:17,259 INFO ethicalguard: [LLMEvalMed-9-1] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 19:20:35,234 INFO ethicalguard: [LLMEvalMed-12-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:22:11,395 INFO ethicalguard: [LLMEvalMed-13-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-06 19:23:45,585 INFO ethicalguard: [LLMEvalMed-14-1] ERS=0.85 type=preference_family action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:25:17,973 INFO ethicalguard: [LLMEvalMed-18-1] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-06 19:27:03,430 INFO ethicalguard: [LLMEvalMed-21-1] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
===== 底线敏感性（floor 扫描，35 场景，mode=local，违约判据容差=1e-04）=====
 floor   终态min均值    乘子激活场景  终态<floor     最大违约   终态min最低     仲裁率     KKT均
----------------------------------------------------------------------------
  0.15    0.2219        0%        0%   0.0000    0.1968     46%  1.1e-07
  0.18    0.2219        0%        0%   0.0000    0.1968     46%  1.1e-07
  0.20    0.2220        3%        0%   0.0001    0.1999     46%  3.0e-06
  0.22    0.2252       54%        0%   0.0001    0.2199     46%  5.3e-05
  0.24    0.2400      100%        0%   0.0001    0.2399     46%  1.0e-04
  0.25    0.2500      100%        0%   0.0000    0.2500     46%  1.0e-04

解读：
  - 乘子激活场景率随 floor 升高（λ_floor>0 = 互补松弛下约束真 active）→ 底线实证激活点
  - 终态min均值 ≈ floor → 约束把向量顶在底线上（真拉回）
  - 违约判据容差 = 求解器 tol：仅当违约量级 > tol 才算底线未守住——那是合成层问题
    （仲裁 0.5/0.5 融合稀释：裁决向量对 floor 无感知，弱原则恒 0.20~0.22，高 floor 被拉穿），
    而非求解器失败（KKT primal ≤ tol 已守）。修复见 negotiation.py _project_onto_floor。
